,text,label
0,"希望各位想在京东买电脑的顾客看看：
1.此电脑的京东页面显示&ldquo;7天无理由退货&rdquo;，但是当你拿到电脑使用一下后想退货那是不可能的，因为京东商城和华硕商家勾结欺骗消费者，客服人员会一波又一波打电话告知你：商品详情的最下面很小的一块已经提示开机连上网络改不退换！（我不连上网络怎么下载软件和试运营？怎么知道其工作正常与否）可耻，京东和华硕就这样赤裸裸的欺骗消费者，为什么在商品页面首页挂上&ldquo;7天无理由退货&rdquo;，为何不商品详情最下端挂上小到可以忽略的小提示？这不是既当婊子，还要给自己立牌坊？欺诈消费者，只能说真的恶心到我了，一下子把多年对京东的好感降为负数！
2.客服人员会不定时给你打电话，告知你，要去第三方线下对电脑进行检测，或者让你去检查你电脑注册与否。只字不提首页&ldquo;7天无理由退货&rdquo;！从来不提无理由退货，只会把你甩到第三方检测，检测会告诉你，没有任何问题。你检查电脑之后也是已经注册。（手动摊手）绕来绕去给你绕7天以后，还退个毛货？京东这样做如果是个案，我自认倒霉，如果是京东常事，我只能说京东也就这样了，怎么跟桃饱比？桃饱虽然有假货，但不会用这种猥琐的手段欺诈消费者！
3.奉劝各位去实体店里购买电脑!!!",差评
1,诺亚信手机质量差，没用几天，屏幕就花屏了，售后客服态度非常差。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,差评
2,"最不爽的一次购物，等级无限级&hellip;&hellip;手机很好，外观与应用都没毛病，说的是京东这次预售。首先拍照吧，我最最在乎的彩色表达准确度，牛八与苹果还是有很大差距，牛八拍出来的军绿色会变成营绿，囧！还有黑色拍成灰色，海水淡蓝色拍成深蓝色，淡黄变深黄&hellip;&hellip;有的颜色会变淡，有的颜色会变深，少些的能接近肉眼看到的，如黑和白。感觉三星在这方面一直没有近步过，s3，s4，note4,note7，几乎都是这样，囧，感觉被新闻上的评论坑了又坑。说屏幕，谁买三星旗舰机不是冲着那一小块呢！我也是，但我只感冒note系列，因为有加了支笔，屏幕在游戏与浏览网站时，那种鲜艳感，苹果机是差上两三个等级，感觉眼睛看得很舒服，但，重点来了，同一张图片，在色彩表达准确度上与肉眼看到的相比，，还是苹果表达比较好，囧！再次反感网上的坑人评论！其他的，电池功能反应，待机等，相对这个价格，与国产机比，性价比，没一点优势！其他：手机很光滑，手感很不错，但在裤子里是件大物件，坐着很容易滑出来；笔很容易弹出来，要小心加小心！很后悔的一次购物，相信我不会再考虑想三星的手机了，因为现在国产机也做得很不错，苹果手机，因为不合适商务类&hellip;&hellip;所以，我要支持国产",差评
3,笔记本买回来以后发现开机和运行速度都很慢，点开两个以上的活动窗口电脑后，移动鼠标光标就会有残影，我就咨询了客服能不能退换货，客服给我的建议是看看电脑是不是在更新系统，如果没有就更新一下。因为我电脑是买给老家父母的，所以我还额外确认了一下说如果更新以后问题还是没有解决是否可以退货，客服说可以先申请维修检测如果还是解决不了才可以退货，我说那可以，我先让我母亲更新一下看看。更新后的结果仍然无法等人满意，问题也没有解决，我又打电话联系了客服说可以申请售后，售后会打电话联系我们，我是上午九时许申请的售后，结果一直到今天下午五时才有电话回复，而结果竟然是不予接受检修申请，原因竟然是可笑的更新了系统，难道更新系统不是客服提议的么，我是否可以理解为你们在戏弄消费者，欺骗欺瞒消费者，售后还在电话中一再强调该笔记本出现这样的问题是笔记本本身硬件决定的与价位有关与故障无关，我虽然不是学计算机硬件的但是配件中提到该笔记本使用的是128G固态硬盘，我想既然是固态硬盘至少开机也不应该是这样的速度啊，所以对于这一手法恕我无法苟同，况且售后在电话中透露出的金钱崇拜和嫌贫爱富的态度对我们的心理也造成了伤害，希望给予解决,差评
4,电脑不错客服太差，一旦你买完了，客服就会以恶劣的态度来对待你，他们回答问题的思想只是想推卸责任，根本不为买家考虑，不管我问什么问题，他第一反应都是以推卸责任而去思考的。我问他这个电脑可不可以安内存条影响保修吗？他刚开始说可以的，然后等到电脑到了之后，电脑后面封条封条上写的是撕毁无效，然后又问他，为什么封条写着撕毁无效，你不是说可以上内存条吗不影响保修？这时候他不来解答我的问题，而是重复的发着他以前发的信息的截图，那个截图就是说，由于自己原因导致的电脑损坏，不退不换，这跟我问题有什么关系呢？然后这时候他完全不听我说的话，不管我说什么他就一直重复的发截图，一直重复的发截图，选择性失聪。我之前承诺过，会给五星好评，但我实在是忍受不了我这样的善良，以前经常善良，但是我发现别人会拿着你的善良去践踏你，那我还是评论一星吧？这是我买东西以来，唯一一次一星评论。后来我打了机械革命的客服电话，这个客服只用一句话就解答了我的问题，十分清晰明了，他说电脑背后贴的那个条上面写的撕毁无效，只是针对能不能在15天退换，与能否保修无关。就这一句话就解答了我的问题，我也明白是怎么回事儿了，京东这个客户只想着推责。,差评
5,"挺黑的黄牛店，慎选。想退货，没退成。
手机方面屏幕自动亮度调节功能极差，能把眼累瞎。电量太低，程序全关，睡一觉10%的电就没了。商家和京东相互扯皮装可怜。
具体经过：mix2上线当天从商家手里4199买入，第二天起来看降价200，想取消订单重买，和商家沟通，说到货后让我选退货补我差价（这是我犯的一个错误）。补差价之后使用手机，体验一般想退货，问题就来了：没有售后通道了。再找客服，商家和京东就开始了一轮又一轮的踢皮球，装可怜，扯皮。商家&ldquo;让京东开通下退货通道就行了&ldquo;京东&ldquo;无法申请退货单&rdquo;商家&ldquo;让京东取消订单就行了&rdquo;京东&ldquo;已完成订单无法取消&rdquo;商家&ldquo;让京东重新开通退货通道就行了&rdquo;京东&ldquo;。。。&rdquo;最后京东就没有回复了。客观事实就是这样，至于商家是不是真的不知道规则，不做评论，总之浪费了我很多时间。
最后我是投诉工商局了，用12315的app直接投诉京东也很方便，不知道结果怎么样。
吃一堑长一智吧，京东作为一个掮客和快递员的角色，其实无法保障客户利益的，买东西还是要自己长个心眼儿，我自己来说的话一是曝光一下这家**黄牛店；再就是劝大家不管在京东哪家店买东西，有降价的先退货再重新买吧，别退差价了。",差评
6,无赖商家，在这家店购买了一部苹果8/64G，之前朋友也在这家店买了一部，朋友买的时候咨询过他们客服的，说好是支持七天无理由退货的，系统上也显示支持七天无理由退货，然而我第二部刚到货的时候刚签收完，还没有拆包装，发现没有给我发票，我当场要求退货，马上联系他们客服说因为没有发票我要求退货，他们客服说没有拆包装的情况下是可以退，然而没有过一会儿他们客服又跟我说不能退，过几天后进去看是有显示支持7天无理由退货的(此商家在玩弄三包政策)心想不退就不退了，我要求他们把发票补发给我就好了，（买部手机5468元，想给发票就给发票，他们不给发票是说客户没有要求要，价格第一天买是5468元，第二天进去看是4千9百多，电子产品每天有浮动正常，问题是这个价格也太大了吧）结果手机在使用第13天就发现手机电池有问题，系统有问题，要求换货，他们以各种理由不给换，打了京东的客服也没有用，京东客服说24小时内有专员联系我，结果几天过去了，没有京东客服给我打过一个电话，我打电话催了几次也是不了了之，这家店的店员服务态度超级差，那个客服还很不友好很大声的和我说话，超级恶劣，京东客服更是恶劣，不把此事当一回事，希望大家在这家店买手机的时候要注意了,差评
7,京东上面买了这么多次外设，第一次遇到这么坑人的呀，这家店真的可以的还什么手机旗舰店简直就是坑人官方旗舰店，我五千块钱买你一个坏的手机?要不要点脸！ 要是想在这家店买手机的朋友们注意啦，这家真的是坑人的，4.7号买的满心欢喜的等待手机4.9号下午签收的本来很正常的购物，结果打了包装之后发现手机居然有个缺口结果我就第一时间联系客服你们知道客服说的什么吗，让我提供开包视频！个大爷的我它嘛的不打开就知道手机又问题？它嘛的我要是会预测未来打死我也不来你家买这个破手机，它吗的详情页主图售后哪条写了要提供视频？再次警戒下和我一样要买这家手机的人真的要注意啦，开箱要拍视频要找个警察在旁边看着点要不然里面放个屎你也得签收找客服客服会说亲亲提供下开箱验屎的视频，要不然你就得收着！客服说的意思就是你开了包就不管我事情了里面就算是屏幕碎的那就是你弄的想想都这么可怕，我就想知道里面的8旁边明明就是掉漆旁边一个缺口，明明就是二手的机子这个就是这家店铺卖出来的手机，不知道是不是翻新的机器呢，就是又能怎么样开了箱你就得拿着，知道为什么不支持7天不激活的情况下退换货吗就是坑你们的买完这个手机真的是倒了八辈子霉，大家应以为戒,差评
8,10月3日拍的电脑，买来送朋友的，因为十一放假期间，10月6日到货客服放到了门卫，10月9日上班收到的电脑，电脑用了几天有问题，反复测试了几天都有问题，10月16日打客户反馈问题，要求退货，客服说过了七天无理由退货期了，说是以收到货的日期为准，不能退货，只能换货。提交了售后申请，说明了情况，要求退货，客服说17日上午就会有客服打电话联系处理，等到10点多也没人打电话，打客户电话，另一个客户又说电脑拆开使用了，不能退货，也不能换货，只能进行维修，我说电脑不用谁知道有没有问题，谁买来不是用的，是看的吗？然后说下午14：00前会有客服打电话处理，等到15:00也没人打电话，又打客户电话沟通，中间客服打给朋友，说只能换货，不给退，京东客户上门取货，然后回去检测3-5天，如果没问题在把原电脑返回，有问题在给换，检测只是售后人员检测，根本不是权威机构，主要是这一来一回加上检测的时间，至少要十天没有电脑用，无法办公，我们的想法是退了，然后直接买个新的，2天就可以收到，要求客户经是回电沟通，因为客服人员每人说一样，根本解决不了问题，接下来就是京东天天打电话就是按他们的要求把电脑退货，然后检测，过了15天换货期，就没动静了，直到现在。,差评
9,"非常鸡肋的电脑，几乎不适合任何群体使用，说明如下：
1、收到货之后基本上就无法退货，因为想看看电脑效果如何的话，就必须启动机器，机器一旦启动就必须注册win10系统，注册过win10之后，机器是不能退货的，这是一个坑，买电脑的要看仔细了这一点；
2、电脑配置极其鸡肋，只装了一个几十M大小的证券软件后，运行这个电脑就已经很卡顿了，不知道再装一些其它软件后会慢到什么样子；
3、电脑所谓的平板功能更是鸡肋的没话说，经常用手触屏肯定会把屏幕弄得很花，从而导致在作为电脑使用时不方便，屏幕反转360度使用后也就意味着键盘所有的按键都要被压到电脑和桌面之间，肯定影响键盘的寿命；
4、此款电脑无论是连接到电视或者其它电脑显示器上，均会出现屏幕溢出或者不能全屏使用的情况，用过这么多电脑后，这还是第一次遇到此种情况，说明这个电脑的集成显卡设计有缺陷；
5、这台电脑基本上是不能使用的，除非你只想用它听听在线音乐或者看看在线电影。但是即便这些简单的应用，也会遇到反应速度卡慢点情况。目前还是刚刚开机使用就非常的卡顿，用过一段时间之后估计就是砖头了。
   不建议大家买这台电脑。我本身是冲着海尔的品牌才买的，没想到遇到这么个奇葩机器。",差评
